〇	zero	líng
上樓	go upstairs	shàng lóu
上標	superscript	shàng biāo
上次	last time	shàng cì
上流	upper class	shàng liú
上流	upper class	shàng liú
上流	upper class	shàng liú
上浮	to float up	shàng fú
上海	Shanghai	shàng hǎi
上海	Shanghai	shàng hǎi
上海人	Shanghainese	shàng hǎi rén
上海人	Shanghainese	shàng 海 rén
上海大学	Shanghai University	shàng hǎi dà xué
上海大学	Shanghai University	shàng hǎi dà xué
上海大學	Shanghai University	shàng hǎi dà xué
上海大學	Shanghai University	shàng hǎi dà xué
上海市	Shanghai	shàng hǎi shì
上海市	Shanghai	shàng hǎi shì
上海戏剧学院	Shanghai Theatrical Institute	shàng hǎi xì jù xué yuàn
上海戏剧学院	Shanghai Theatrical Institute	shàng hǎi xì jù xué yuàn
上海戲劇學院	Shanghai Theatrical Institute	shàng hǎi xì jù xué yuàn
上海戲劇學院	Shanghai Theatrical Institute	shàng hǎi xì jù xué yuàn
上海浦东发展银行	Shanghai Pudong Development Bank	shàng hǎi pǔ dōng fā zhǎn yín háng
上海浦东发展银行	Shanghai Pudong Development Bank	shàng hǎi pǔ dōng fā zhǎn yín háng
上海浦东发展银行	Shanghai Pudong Development Bank	shàng hǎi pǔ dōng fā zhǎn yín háng
上海浦東發展銀行	Shanghai Pudong Development Bank	shàng hǎi pǔ dōng fā zhǎn yín háng
上海浦東發展銀行	Shanghai Pudong Development Bank	shàng hǎi pǔ dōng fā zhǎn yín háng
上海浦東發展銀行	Shanghai Pudong Development Bank	shàng hǎi pǔ dōng fā zhǎn yín háng
上海話	Shanghainese/Shanghai dialect	shàng hǎi huà
上海話	Shanghainese/Shanghai dialect	shàng hǎi huà
上海话	Shanghainese/Shanghai dialect	shàng hǎi huà
上海话	Shanghainese/Shanghai dialect	shàng hǎi huà
上涨	rise/to rise	shàng zhǎng
上游	upstream	shàng yóu
上演	perform	shàng yǎn
上漲	rise/to rise	shàng zhǎng
上火	get angry	shàng huǒ
上犹	Shangyou	shàng yóu
上猶	Shangyou	shàng yóu
上班	to go to work/be on duty/go to work	shàng bān
上班族	office workers/office worker	shàng bān zú
上界	upper bound	shàng jiè
上當	be fooled	shàng dàng
上瘾	to become addicted	shàng yǐn
上癮	to become addicted	shàng yǐn
上皮	epithelium	shàng pí
上相	photogenic	shàng xiàng
上睑	upper eyelid	shàng jiǎn
上瞼	upper eyelid	shàng jiǎn
上确界	supremum	shàng què jiè
上確界	supremum	shàng què jiè
上空	in the sky/overhead	shàng kōng
上端	upper end	shàng duān
上等	high quality	shàng děng
上級	higher authority	shàng jí
上網	be on the Internet/be netted (of fish)	shàng wǎng
上级	higher authority	shàng jí
上线	to go online	shàng xiàn
上网	be on the Internet/be netted (of fish)	shàng wǎng
上肢	upper limb	shàng zhī
上臺	mount the platform	shàng tái
上船	board a ship/boat	shàng chuán
上色	top-grade	shàng sè
上萬	over ten thousand	shàng wàn
上蔡	Shangcai	shàng cài
上虞	Shangyu	shàng yú
上虞市	Shangyu	shàng yú shì
上街	go shopping	shàng jiē
上衣	jacket/upper outer garment	shàng yī
上衫	blouse	shàng shān
上訪	seek an audience with higher-ups	shàng fǎng
上訴	appeal/to appeal	shàng sù
上訴人	appellant	shàng sù rén
上訴法院	court of appeal	shàng sù fǎ yuàn
上課	attend class/go to class/to attend class	shàng kè
上調	to adjust upward	shàng tiáo
上調	to adjust upward	shàng tiáo
上諭	imperial edict	shàng yù
上諭	imperial edict	shàng yù
上議院	Senate	shàng yì yuàn
上议院	Senate	shàng yì yuàn
上访	seek an audience with higher-ups	shàng fǎng
上诉	appeal/to appeal	shàng sù
上诉人	appellant	shàng sù rén
上诉法院	court of appeal	shàng sù fǎ yuàn
上课	attend class/go to class/to attend class	shàng kè
上调	to adjust upward	shàng tiáo
上谕	imperial edict	shàng yù
上賓	distinguished guest/guest of honor	shàng bīn
上賓	distinguished guest/guest of honor	shàng 賓
上路	set out (on journey)	shàng lù
上路	set out (on journey)	shàng lù
上身	upper part of the body	shàng shēn
上載	to upload/upload	shàng zǎi
上輩	one's elders/ancestor	shàng bèi
上载	to upload/upload	shàng zǎi
上辈	one's elders/ancestor	shàng bèi
上边	above-mentioned/above	shàng bian
上达	rise to higher	shàng dá
上进	to make progress/make progress	shàng jìn
上述	above-mentioned/aforementioned	shàng shù
上進	to make progress/make progress	shàng jìn
上邊	above-mentioned/above	shàng bian
上钩	take bait	shàng gōu
上門	drop in/visit	shàng mén
上门	drop in/visit	shàng mén
上阵	go into battle	shàng zhèn
上限	upper limit	shàng xiàn
上陣	go into battle	shàng zhèn
上面	above	shàng miàn
上頜	maxilla	shàng hé
上頜骨	maxilla	shàng hé gǔ
上頭	on/above	shàng tóu
上頷	mandible	shàng hàn
上顎	maxilla	shàng è
上颌	maxilla	shàng hé
上颌骨	maxilla	shàng hé gǔ
上颔	mandible	shàng hàn
上颚	maxilla	shàng è
上风	windward/advantage	shàng fēng
上饒	Shangrao	shàng ráo
上饒市	Shangrao	shàng ráo shì
上饶	Shangrao	shàng ráo
上饶市	Shangrao	shàng ráo shì
上首	seat of honor	shàng shǒu
上馬	to mount	shàng mǎ
上马	to mount	shàng mǎ
上高	Shanggao	shàng gāo
上齒	upper teeth	shàng chǐ
上齒齦	upper alveolar ridge	shàng chǐ kěn
上齿	upper teeth	shàng chǐ
上齿龈	upper alveolar ridge	shàng chǐ yín
下	lower	xià
㊦	lower	xià
下一个	the next one/the next/next	xià yī ge
下一個	the next one/the next/next	xià yī ge
下一次	next	xià yī cì
下一步	next step	xià yī bù
下一站	next station	xià yī zhàn
下不为例	not to be repeated	xià bù wéi lì
下不为例	not to be repeated	xià bù wéi lì
下不为例	not to be repeated	xià bù wéi lì
下不來	embarrassed	xià bù lái
下不來	embarrassed	xià bù lái
下不來	embarrassed	xià bù lái
下不来	embarrassed	xià bù lái
下不来	embarrassed	xià bù lái
下不為例	not to be repeated	xià bù wéi lì
下不為例	not to be repeated	xià bù wéi lì
下不為例	not to be repeated	xià bù wéi lì
下个星期	next week	xià gè xīng qī
下个月	next month	xià gè yuè
下乡	to go to the countryside/go to the countryside	xià xiāng
下令	order	xià lìng
下令	order	xià lìng
下体	private parts/genitals	xià tǐ
下來	come down	xià lai
下來	come down	xià lai
下個星期	next week	xià gè xīng qī
下個月	next month	xià gè yuè
下倾	declination	xià qīng
下傾	declination	xià qīng
下决心	resolve/to resolve	xià jué xīn
下划线	underline	xià huà xiàn
下列	following	xià liè
下列	following	xià liè
下劃線	underline	xià huà xiàn
下午	afternoon	xià wǔ
下半场	second half	xià bàn chǎng
下半場	second half	xià bàn chǎng
下半天	afternoon	xià bàn tiān
下半旗	fly a flag at half-mast	xià bàn qí
下单	to place an order/to order	xià dān
下去	go down	xià qù
下台	to step down	xià tái
下同	the same below	xià tóng
下周	next week	xià zhōu
下周一	next Monday	xià zhōu yī
下咽	swallow	xià yān
下咽	swallow	xià yān
下唇	lower lip	xià chún
下單	to place an order/to order	xià dān
下回	next time	xià huí
下地	leave a sickbed	xià dì
下场	end	xià chǎng
下坠	tenesmus	xià zhuì
下坡	downhill	xià pō
下坡路	decline	xià pō lù
下坡路	decline	xià pō lù
下垂	hang down/droop	xià chuí
下場	end	xià chǎng
下墜	tenesmus	xià zhuì
下定	determined	xià dìng
下定义	to define/define	xià dìng yì
下定義	to define/define	xià dìng yì
下层	lower level/strata	xià céng
下属	subordinate/underling	xià shǔ
下属公司	subsidiary	xià shǔ gōng sī
下層	lower level/strata	xià céng
下層	lower level/strata	xià céng
下屬	subordinate/underling	xià shǔ
下屬公司	subsidiary	xià shǔ gōng sī
下岗	come off sentry duty/to lay off	xià gǎng
下崗	come off sentry duty/to lay off	xià gǎng
下工夫	put in time and energy	xià gōng fu
下巴	chin	xià ba
下巴頦	chin	xià ba kē
下巴颏	chin	xià ba kē
下意識	subconscious	xià yì shí
下意識	subconscious	xià yì shí
下意识	subconscious	xià yì shí
下手	start/to set about/set about	xià shǒu
下拜	bow down/bow	xià bài
下挫	decline	xià cuò
下放	transfer to a lower level	xià fàng
下文	later development/outcome	xià wén
下方	lower part	xià fāng
下旬	last third of the month	xià xún
下星期	next week	xià xīng qī
下月	next month	xià yuè
下来	go among the masses (said of leaders)/to come down/come down	xià lai
下标	subscript	xià biāo
下棋	play chess/to play chess	xià qí
下榻	stay	xià tà
下標	subscript	xià biāo
下次	next time	xià cì
下款	name of donor	xià kuǎn
下毛毛雨	drizzle	xià máo mao yǔ
下水	to launch/downstream/offal	xià shuǐ
下水道	sewer	xià shuǐ dào
下決心	resolve/to resolve	xià jué xīn
下沉	sink	xià chén
下流	obscene/mean	xià liú
下流	obscene/mean	xià liú
下流	obscene/mean	xià liú
下浣	last ten days of the lunar month	xià huàn
下游	lower reaches (of a river)/lower level	xià yóu
下滑	slide	xià huá
下滑	slide	xià huá
下狱	imprison	xià yù
下獄	imprison	xià yù
下班	to get off work	xià bān
下界	world of mortals	xià jiè
下疳	chancre	xià gān
下等	inferior	xià děng
下策	bad plan/stupid move	xià cè
下級	subordinate	xià jí
下線	to go offline	xià xiàn
下级	subordinate	xià jí
下线	to go offline	xià xiàn
下肢	lower limbs	xià zhī
下至上	bottom to top	xià zhì shàng
下臺	to step down	xià tái
下船	disembark	xià chuán
下落	whereabouts/drop/fall	xià luò
下落	whereabouts/drop/fall	xià luò
下葬	inter/bury	xià zàng
下蛋	lay eggs	xià dàn
下詔	issue an imperial edict	xià zhào
下課	finish class/get out of class	xià kè
下調	to adjust downward	xià diào
下調	to adjust downward	xià diào
下議院	lower house	xià yì yuàn
下议院	lower house	xià yì yuàn
下诏	issue an imperial edict	xià zhào
下课	finish class/get out of class	xià kè
下调	to adjust downward	xià diào
下跌	to fall/fall	xià diē
下跪	kneel	xià guì
下身	lower part of the body/trousers	xià shēn
下載	download/to download	xià zǎi
下輩	younger generation of a family	xià bèi
下载	download/to download	xià zǎi
下辈	younger generation of a family	xià bèi
下边	below/under	xià bian
下达	transmit to a lower level	xià dá
下達	transmit to a lower level	xià dá
下邊	below/under	xià bian
下鄉	to go to the countryside/go to the countryside	xià xiāng
下錨	drop anchor	xià máo
下锚	drop anchor	xià máo
下降	to fall	xià jiàng
下降	to fall	xià jiàng
下院	lower house	xià yuàn
下雨	to rain/rain	xià yǔ
下雪	snow/to snow	xià xuě
下面	below/under/next	xià miàn
下頁	next page	xià yè
下頜骨	mandible/lower jaw	xià hé gǔ
下頭	subordinate/underneath	xià tóu
下頷	mandible/lower jaw	xià hàn
下頷骨	mandible/lower jawbone	xià hàn gǔ
下顎	mandible	xià è
下页	next page	xià yè
下颌骨	mandible/lower jaw	xià hé gǔ
下颔	mandible/lower jaw	xià hàn
下颔骨	mandible/lower jawbone	xià hàn gǔ
下颚	mandible	xià è
下風	leeward	xià fēng
下风	leeward	xià fēng
下飛機	to deplane/deplane	xià fēi jī
下飞机	to deplane/deplane	xià fēi jī
下館子	eat at a restaurant	xià guǎn zi
下館子	eat at a restaurant	xià guǎn zi
下馆子	eat at a restaurant	xià guǎn zi
下馬	dismount from a horse	xià mǎ
下马	dismount from a horse	xià mǎ
下體	private parts/genitals	xià tǐ
下齒	bottom teeth	xià chǐ
下齿	bottom teeth	xià chǐ
不	not/no	bù
不	not/no	bù
不一	different	bù yī
不一	different	bù yī
不一定	maybe/not necessarily	bù yī dìng
不一定	maybe/not necessarily	bù yī dìng
不一样	distinctive/different	bù yī yàng
不一样	distinctive/different	bù yī yàng
不一樣	distinctive/different	bù yī yàng
不一樣	distinctive/different	bù yī yàng
不一而足	by no means an isolated case/numerous	bù yī ér zú
不一而足	by no means an isolated case/numerous	bù yī ér zú
不三不四	dubious	bù sān bù sì
不三不四	dubious	bù sān bù sì
不下	not less than	bù xià
不下	not less than	bù xià
不下于	as many as/not inferior to	bù xià yú
不下于	as many as/not inferior to	bù xià yú
不下於	as many as	bù xià yú
不下於	as many as	bù xià yú
不中意	not to one's liking	bù zhòng yì
不中意	not to one's liking	bù zhòng yì
不中用	unfit for anything/useless	bù zhōng yòng
不中用	unfit for anything/useless	bù zhōng yòng
不丹	Bhutan	bù dān
不丹	Bhutan	bù dān
不丹	Bhutan	bù dān
不为人知	unknown/secret	bù wéi rén zhī
不为人知	unknown/secret	bù wéi rén zhī
不为左右袒	remain neutral in a quarrel	bù wèi zuǒ yòu tǎn
不为左右袒	remain neutral in a quarrel	bù wèi zuǒ yòu tǎn
不为已甚	refrain from going to extremes in meting out punis	bù wéi yǐ shèn
不为已甚	refrain from going to extremes in meting out punis	bù wéi yǐ shèn
不为所动	remain unmoved	bù wéi suǒ dòng
不为所动	remain unmoved	bù wéi suǒ dòng
不久	soon/soon after	bù jiǔ
不久	soon/soon after	bù jiǔ
不久前	not long ago	bù jiǔ qián
不久前	not long ago	bù jiǔ qián
不义	injustice	bù yì
不义	injustice	bù yì
不义之财	ill-gotten wealth	bù yì zhī cái
不义之财	ill-gotten wealth	bù yì zhī cái
不乏	there is no lack of	bù fá
不乏	there is no lack of	bù fá
不乾不凈	unclean	bù qián bù jìng
不乾不凈	unclean	不 qián 不 jìng
不了	unable to	bù le
不了	unable to	bù le
不了	unable to	bù le
不了了之	to settle a matter by leaving it unsettled	bù liǎo liǎo zhī
不了了之	to settle a matter by leaving it unsettled	bù liǎo liǎo zhī
不了了之	to settle a matter by leaving it unsettled	bù liǎo liǎo zhī
不予	not grant	bù yǔ
不予	not grant	不 yǔ
不争气	be disappointing	bù zhēng qì
不争气	be disappointing	bù zhēng qì
不二法門	the one and only way	bù èr fǎ mén
不二法門	the one and only way	bù èr fǎ mén
不二法门	the one and only way	bù èr fǎ mén
不二法门	the one and only way	bù èr fǎ mén
不亚于	no less than/not inferior to	bù yà yú
不亚于	no less than/not inferior to	bù yà yú
不亞於	no less than/not inferior to	bù yà yú
不亞於	no less than/not inferior to	bù yà yú
不亢不卑	neither haughty nor humble	bù kàng bù bēi
不亢不卑	neither haughty nor humble	bù kàng bù bēi
不亢不卑	neither haughty nor humble	bù kàng bù bēi
不亦乐乎	awfully	bù yì lè hū
不亦乐乎	awfully	bù yì lè hū
不亦樂乎	awfully	bù yì lè hū
不亦樂乎	awfully	bù yì lè hū
不亦樂乎	awfully	bù yì lè hū
不亦樂乎	awfully	bù yì lè hū
不亦樂乎	awfully	bù yì lè hū
不人道	inhuman	bù rén dào
不人道	inhuman	bù rén dào
不仁	not benevolent/heartless	bù rén
不仁	not benevolent/heartless	bù rén
不仅	not only	bù jǐn
不仅	not only	bù jǐn
不仅仅	not only	bù jǐn jǐn
不仅仅	not only	bù jǐn jǐn
不仅如此	not only that	bù jǐn rú cǐ
不仅如此	not only that	bù jǐn rú cǐ
不介入	nonintervention	bù jiè rù
不介入	nonintervention	不 jiè rù
不休	ceaselessly/endlessly	bù xiū
不休	ceaselessly/endlessly	bù xiū
不会	cannot/unlikely	bù huì
不会	cannot/unlikely	bù huì
不伦不类	nondescript/neither fish nor fowl	bù lún bù lèi
不伦不类	nondescript/neither fish nor fowl	bù lún bù lèi
不伦不类	nondescript/neither fish nor fowl	bù lún bù lèi
不但	not only	bù dàn
不但	not only	bù dàn
不但如此	not only that	bù dàn rú cǐ
不但如此	not only that	不 dàn rú cǐ
不住	repeatedly	bù zhù
